job_position_name,career_objective,skills,matched_score,degree_names,major_field_of_studies,experiencere_requirement
Senior Software Engineer,big data analytics working and database warehouse manager with robust experience in handling all kinds of data. i have also used multiple cloud infrastructure services and am well acquainted with them. currently in search of role that offers more of development.,Not provided,0.85,['b.tech'],['electronics'],at least 1 year
Machine Learning (Ml) Engineer,fresher looking to join as a data analyst and junior data scientist. experienced in creating meaningful data dashboards and evaluation models.,Not provided,0.75,"['b.sc (maths)', 'm.sc (science) (statistics)']","['mathematics', 'statistics']",at least 5 year(s)
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",Not provided,Not provided,0.416666667,['b.tech'],['electronics/telecommunication'],at least 3 years
Ai Engineer,"to secure an it specialist, desktop support, network administration, database administrator, technical support specialist or related position with a growing organization where my microsoft certification, technical aptitude, networking, windows and mac os, apple and android ios, web development, application development, linux, microsoft applications, managing, testing, client support, help desk, technical support, troubleshooting, and leadership skills can benefit those who i work for as well as myself.",Not provided,0.85,"['bachelor degree', 'associate degree']","['electronics and communications engineering technology', 'software development']",Not specified
Mechanical Engineer,"certified data analyst with a degree in electronics engineering, i have hands on experience in analyzing & interpreting data with good numerical accuracy.",Not provided,0.55,['b.tech/b.e.'],['electronics/telecommunication'],2 to 5 years
Mechanical Designer,"enthusiastic, knowledgeable professional with experience and proven success in program and project management, online and instructor led design, development and facilitation. outstanding problem-solving skills, as proven through implementation of accounting software packages, significantly improving billing and reporting processes. excellent management skills, encouraging career growth of subordinates through additional training and opportunities. keep up-to-date with industry changes through professional affiliation.",Not provided,0.75,"['master of science', 'bachelor of science', 'bachelor of science']","['education with an option in online teaching and learning', 'accounting', 'business administration']",at least 5 years
Machine Learning (Ml) Engineer,Not provided,Not provided,0.65,['b.a'],['economics'],at least 5 year(s)
Database Administrator (Dba),Not provided,Not provided,0.85,['b.tech'],['electronics and telecommunication'],at least 1 year
"Executive/ Senior Executive- Trade Marketing, Hygiene Products","machine learning engineer seeking assignments deep learning, reinforcement learning, tensorflow. keras.",Not provided,0.626666667,['b.tech(it)'],['information technology'],at least 3 years
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",extremely motivated to constantly develop my skills and grow professionally. i am confident in my ability to come up with innovative solutions and maintain better software development practices.,Not provided,0.65,['b.tech'],['n/a'],at least 3 years
Machine Learning (Ml) Engineer,Not provided,Not provided,0.85,"['m.s', 'b.e']","['computer science', 'electronics and communication engineering']",at least 5 year(s)
Ai Engineer,Not provided,Not provided,0.75,['b.tech'],['electronics and telecommunication'],Not specified
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",Not provided,Not provided,0.85,"['b.s', 'm.s', 'b.s.i.t']","['mechanical engineering', 'electrical engineering', 'software engineering']",at least 3 years
"System Administrator (Operation & Maintenance Of Server, Storage & Service Desk System)",i am an assistant software engineer working on cloud-based solutions. after working on a couple of machine learning application evaluations and deployment i got really engrossed into the domain and would like to work more towards improving myself.,Not provided,0.75,['b.tech'],['telecommunication'],4 to 5 years
Ai Engineer,post graduate analyst experienced in business management and statistical analysis. i have a very good grasp on finding the best solution for a business and applying them.,Not provided,0.816666667,"['bsc', 'msc']","['statistics', 'data analysis and statistical computation']",Not specified
